CUSTOMERNAME,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Recency,ORDERNUMBER [Binned],SALES [Binned],Recency [Binned],RECENCY,FREQUENCY,MONETARY,Concatenate
"AV Stores, Co.",51,34.8627450980392,91.0845098039215,9.01960784313725,3094.27078431372,51,1803.80392156862,51,51,92.8431372549019,51,51,51,Manchester,51,UK,Ashworth,Victoria,51,197,Bin 4,Bin 1,Bin 3,2,4,1,"2, 4, 1"
Alpha Cognac,20,34.3499999999999,101.16,4.94999999999999,3524.422,20,2236.19999999999,20,20,97.1499999999999,20,20,20,Toulouse,20,France,Roulet,Annette,20,65,Bin 1,Bin 2,Bin 1,4,1,2,"4, 1, 2"
Amica Models & Co.,26,32.4230769230769,110.852692307692,7.61538461538461,3619.89461538461,26,1318.61538461538,26,26,107.653846153846,26,26,26,Torino,26,Italy,Accorti,Paolo,26,266,Bin 2,Bin 3,Bin 4,1,2,3,"1, 2, 3"
"Anna's Decorations, Ltd",46,31.9347826086956,106.424130434782,6.43478260869565,3347.74195652173,46,1463.58695652173,46,46,104.717391304347,46,46,46,North Sydney,46,Australia,O'Hara,Anna,46,84,Bin 4,Bin 2,Bin 2,3,4,2,"3, 4, 2"
Atelier graphique,7,38.5714285714285,92.2385714285714,2,3454.27999999999,7,1424.42857142857,7,7,95.5714285714285,7,7,7,Nantes,7,France,Schmitt,Carine,7,189,Bin 1,Bin 2,Bin 3,2,1,2,"2, 1, 2"
"Australian Collectables, Ltd",23,30.6521739130434,90.0417391304347,6.69565217391304,2808.32434782608,23,1689.69565217391,23,23,88.1304347826086,23,23,23,Glen Waverly,23,Australia,Connery,Sean,23,23,Bin 2,Bin 1,Bin 1,4,2,1,"4, 2, 1"
"Australian Collectors, Co.",55,35.0181818181818,104.590181818181,7.03636363636363,3654.462,55,1698.78181818181,55,55,103.527272727272,55,55,55,Melbourne,55,Australia,Ferguson,Peter,55,185,Bin 4,Bin 3,Bin 2,3,4,3,"3, 4, 3"
"Australian Gift Network, Co",15,36.3333333333333,110.554,3.06666666666666,3964.608,15,1349.13333333333,15,15,111.533333333333,15,15,15,South Brisbane,15,Australia,Calaghan,Tony,15,120,Bin 1,Bin 4,Bin 2,3,1,4,"3, 1, 4"
Auto Assoc. & Cie.,18,35.3888888888888,99.4878014184397,8.55555555555555,3601.90666666666,18,1266.27777777777,18,18,100.388888888888,18,18,18,Versailles,18,France,Tonini,Daniel,18,234,Bin 1,Bin 3,Bin 4,1,1,3,"1, 1, 3"
Auto Canal Petit,27,37.074074074074,94.2551851851851,6.33333333333333,3450.76518518518,27,1763.44444444444,27,27,94.8518518518518,27,27,27,Paris,27,France,Perrier,Dominique,27,55,Bin 3,Bin 2,Bin 1,4,3,2,"4, 3, 2"
